,fname,text
0,experienceleague.adobe.com docs experience platform edge data collection track links.html?lang=en.txt,"experienceleague.adobe.com docs experience platform edge data collection track links.html?lang=en.txt.  Track links Links can be set manually or tracked automatically. Manual tracking is done by adding the details under the web.webInteraction part of the schema. There are three required variables: web.webInteraction.name web.webInteraction.type web.webInteraction.linkClicks.value alloy(""sendEvent"", { ""xdm"": {  ""web"": {  ""webInteraction"": {   ""linkClicks"": {    ""value"": 1   },   ""name"": ""My Custom Link"", // Name that shows up in the custom links report   ""URL"": ""https://myurl.com"", // The URL of the link   ""type"": ""other"" // values: other, download, exit  }  } } }); The link type can be one of three values: other: A custom link download: A download link exit: An exit link These values are automatically mapped into Adobe Analytics if configured to do so. Automatic link tracking By default, the Web SDK captures, labels, and records clicks on qualifying link tags. Clicks are captured with a capture click event listener that is attached to the document. Automatic link tracking can be disabled by configuring the Web SDK. clickCollectionEnabled: false What tags qualify for link-tracking? Automatic link tracking is done for anchor A and AREA tags. However, these tags aren’t considered for link tracking if they have an attached onclick handler. How are links labeled? Links are labeled as a download link if the anchor tag includes a download attribute or if the link ends with a popular file extension. The download link qualifier can be configured with a regular expression: downloadLinkQualifier: ""\\.(exe|zip|wav|mp3|mov|mpg|avi|wmv|pdf|doc|docx|xls|xlsx|ppt|pptx)$"" Links are labeled as an exit link if the link target domain differs from the current window.location.hostname. Links that do not qualify as a download or exit link are labeled as “other.” How can link-tracking values be filtered? The data collected with automatic link tracking can be inspected and filtered by providing an onBeforeEventSend callback function. Filtering link tracking data can be useful when preparing data for Analytics reporting. Automatic link tracking captures both the link name and link URL. In Analytics reports, the link name takes priority over link URL. If you wish to report the link URL, the link name needs to be removed. The following example shows an onBeforeEventSend function that removes the link name for download links: alloy(""configure"", { onBeforeEventSend: function(options) {  if (options  && options.xdm  && options.xdm.web  && options.xdm.web.webInteraction) {   if (options.xdm.web.webInteraction.type === ""download"") {   options.xdm.web.webInteraction.name = undefined;   }  } } });  Business.Adobe.com resources   "
1,experienceleague.adobe.com docs experience platform edge fundamentals interacting with multiple properties.html?lang=en.txt,"experienceleague.adobe.com docs experience platform edge fundamentals interacting with multiple properties.html?lang=en.txt.  Interact with multiple properties There are certain cases where you might want to interact with two different properties on the same page. These cases include: Companies that have been acquired and are working on integrating their websites together Data-sharing relationships between multiple companies Customers who are testing new Adobe Solutions and don’t want to disrupt their existing implementation The SDK allows you to create a separate instance for each property by adding another name to the array in the base code. The following example provides two names, mycustomname1 and mycustomname2. <script> !function(n,o){o.forEach(function(o){n[o]||((n.__alloyNS=n.__alloyNS|| []).push(o),n[o]=function(){var u=arguments;return new Promise( function(i,l){n[o].q.push([i,l,u])})},n[o].q=[])})} (window,[""mycustomname1"", ""mycustomname2""]); </script> <script src=""alloy.js"" async></script> As a result, the script creates two instances of the SDK. The global function for interacting with the first instance is named mycustomname1 and the global function for interacting with the second instance is named mycustomname2. By creating two separate instances, each can be configured for a different property. Any communication or data persistence that occurs due to interacting with mycustomname1 is kept isolated from mycustomname2. Following the above example, you can execute commands using each of the instances, as follows: mycustomname1(""configure"", { ""edgeConfigId"": ""ebebf826-a01f-4458-8cec-ef61de241c93"", ""orgId"": ""ADB3LETTERSANDNUMBERS@AdobeOrg"" }); mycustomname1(""sendEvent"", { ""data"": {  ""key"": ""value"" } }); mycustomname2(""configure"", { ""edgeConfigId"": ""f46e981f-fd03-4bdd-a9d9-73ce4447f870"", ""orgId"": ""ADB3NUMBERSANDLETTERS2@AdobeOrg"" }); mycustomname2(""sendEvent"", { ""data"": {  ""key"": ""value"" } }); Be sure to execute the configure command for each instance before executing other commands on the same instance. Limitations To avoid conflicts with cookies, only one instance of Adobe Experience Platform Web SDK within a page can have a particular edgeConfigId. Similarly, only one instance of Adobe Experience Platform Web SDK can have a particular orgId. Business.Adobe.com resources  Multichannel Communication Content Management System Email Deliverability Third Party Data Analytics Display Advertising "
2,experienceleague.adobe.com docs experience platform edge consent iab tcf with launch.html?lang=en.txt,"experienceleague.adobe.com docs experience platform edge consent iab tcf with launch.html?lang=en.txt.  Integrate IAB TCF 2.0 support using tags and the Platform Web SDK extension Adobe Experience Platform Web SDK supports the Interactive Advertising Bureau Transparency & Consent Framework, version 2.0 (IAB TCF 2.0). This guide shows you how to set up a tag property for sending IAB TCF 2.0 consent information to Adobe using the Adobe Experience Platform Web SDK tag extension. If you do not wish to use tags, please refer to the guide on using IAB TCF 2.0 without tags. Getting started In order to use IAB TCF 2.0 with tags and the Platform Web SDK extension, you need to have an XDM schema and dataset available. Additionally, this guide requires you to have a working understanding of Adobe Experience Platform Web SDK. For a quick refresher, please read the Adobe Experience Platform Web SDK overview and the Frequently asked questions documentation. Setting default consent Within the extension configuration, there is a setting for default consent. This controls the behavior of customers who do not have a consent cookie. If you want to queue Experience Events for customers who do not have a consent cookie, set this to pending. If you want to discard Experience Events for customers who do not have a consent cookie, set this to out. You can also use a data element to dynamically set the default consent value. For more information on how to configure default consent, refer to the default consent section in the SDK configuration guide. Updating Profile with consent information To call the setConsent action when your customers consent preferences have changed, you need to create a new tag rule. Start by adding a new event and choose the Core extension’s “Custom Code” event type. Use the following code sample for your new event: // Wait for window.__tcfapi to be defined, then trigger when the customer has completed their consent and preferences. function addEventListener() { if (window.__tcfapi) {  window.__tcfapi(""addEventListener"", 2, function (tcData, success) {  if (success && tcData.eventStatus === ""useractioncomplete"") {   // save the tcData.tcString in a data element   _satellite.setVar(""IAB TCF Consent String"", tcData.tcString);   _satellite.setVar(""IAB TCF Consent GDPR"", tcData.gdprApplies);   trigger();  }  }); } else {  // window.__tcfapi wasn't defined. Check again in 100 milliseconds  setTimeout(addEventListener, 100); } } addEventListener(); This custom code does two things: Sets two data elements, one with the consent string and one with the gdprApplies flag. This is useful later when filling out the “Set Consent” action. Triggers the rule when the consent preferences have changed. The “Set Consent” action should be used whenever consent preferences have changed. Add a “Set Consent” action in the extension and fill out the form as follows: Standard: “IAB TCF” Version: “2.0” Value: “%IAB TCF Consent String%” GDPR Applies: “%IAB TCF Consent GDPR%”  IMPORTANT You cannot choose these data elements using the data element selector because they were created through custom code. You must type in the data element name with the percent signs. This code updates your customer’s profile with their new consent preferences whenever they change. Additionally, the server returns a cookie value, which could prevent Adobe Experience Platform Web SDK from recording Experience Events. Creating an XDM data element for Experience Events The consent string should be included in the XDM Experience Event. To do this, use the XDM Object data element. Start by creating a new XDM Object data element, or alternatively, use one you already created for sending events. If you have added the Experience Event Privacy schema field group to your schema, you should have a consentStrings key in the XDM object. Select consentStrings. Choose Provide individual items and select Add Item. Expand the consentString heading, and expand the first item, then fill in the following values: consentStandard: IAB TCF consentStandardVersion: 2.0 consentStringValue: %IAB TCF Consent String% gdprApplies: %IAB TCF Consent GDPR% IMPORTANT You cannot choose these data elements using the data element selector because they were created through custom code. You must type in the data element name with the percent signs. Sending an initial Experience Event with IAB TCF 2.0 consent information If the initial Experience Event on the page is triggered with a page load event, the consent string might not have loaded yet. This rule is intended to replace your current page load event. To make sure the consent information is loaded first, create a new rule and add the following code as a custom code event: // Wait for window.__tcfapi to be defined, then trigger when there is a consent string function addEventListener() { if (window.__tcfapi) {  window.__tcfapi(""addEventListener"", 2, function (tcData, success) {  if (success && (tcData.eventStatus === ""useractioncomplete"" || tcData.eventStatus === ""tcloaded"")) {   // save the tcData.tcString in a data element   _satellite.setVar(""IAB TCF Consent String"", tcData.tcString);   _satellite.setVar(""IAB TCF GDPR Applies"", tcData.gdprApplies);   trigger();  }  }); } else {  // window.__tcfapi wasn""t defined. Check again in 100 milliseconds  setTimeout(addEventListener, 100); } } addEventListener(); This code is identical to the previous custom code, except that both useractioncomplete and tcloaded events are handled. The previous custom code only triggers when the customer chooses their preferences for the first time. This code also triggers when the customer has already chosen their preferences. For example, on the second page load. Add a “Send Event” action from the Platform Web SDK extension. Within the XDM field, choose the XDM data element you created in the previous section. Sending other events with IAB TCF 2.0 consent information When events are triggered after the initial Experience Event, the two data elements are still defined and can be used to send the IAB consent information. Use the same XDM data element to send future events. IAB TCF 2.0 information is included. Next steps Now that you have learned how to use IAB TCF 2.0 with the Platform Web SDK extension, you can also choose to integrate with other Adobe solutions such as Adobe Analytics or Adobe Real-Time Customer Data Platform. See the IAB Transparency & Consent Framework 2.0 overview for more information. Business.Adobe.com resources   "
3,experienceleague.adobe.com docs experience platform edge home.html.txt,"experienceleague.adobe.com docs experience platform edge home.html.txt.  Adobe Experience Platform Web SDK overview Adobe Experience Platform Web SDK is a client-side JavaScript library that allows customers of Adobe Experience Cloud to interact with the various services in the Experience Cloud through the Adobe Experience Platform Edge Network. In addition to the JavaScript library, there is a tag extension to help with your Web SDK configurations. For a step by step guide to setting up the Web SDK with tags and sending data to the solutions please see our Implement Adobe Experience Cloud with Web SDK tutorial. IMPORTANT This product is constantly evolving and growing to support more and more use cases. To keep up with the latest and see what we currently support, see the supported use cases page. Adobe Experience Edge Adobe Experience Platform Web SDK is part of the collection that makes up the Adobe Experience Edge. Experience Edge consists of the following technologies: Adobe Experience Platform Web SDK: A JavaScript SDK and tag extension to dramatically simplify deploying Adobe technologies. Adobe Experience Platform Mobile SDK: An extension to the v5 mobile SDK to allow customers to use the new deployment methodology Adobe Experience Platform Edge Network: A global distributed network of servers that enable a new methodology of deploying Adobe products The Adobe Experience Edge is a new framework for low-latency data collection, pluggable computing and rapid data activation across all addressable channels. Adobe Experience Edge provides a single consolidated SDK for every channel (JavaScript, Mobile, Server-side), which sends data to a common Adobe domain (adobedc.net) and receives a single payload back for data and experience delivery. On the server-side, a unified edge gateway and a common platform services framework makes it easy to plug-in and deploy new capabilities into this real-time computing environment. This architecture: Decreases customer time to value Ends the need for “point” integrations Improves performance compared to the old libraries Decreases costs Increases the speed of innovation Creates sustained competitive advantages for Adobe customers A single consolidated edge system allows customers to manage their advertising, marketing or personalization campaigns across all channels as an integrated experience. It allows Adobe to deliver services with lower total cost of ownership for customers. It also helps increase the speed of product innovation by making the real-time edge pluggable and allowing Adobe and its customers to more rapidly add new capabilities and customer-defined logic to that real time system. Video overview The following video gives an overview of the Adobe Experience Platform Web SDK and Adobe Experience Platform Edge Network. Your browser does not support the iframe element. Libraries replaced by the Web SDK The Web SDK is not just a wrapper around existing libraries. It is a completely new library, written from the ground up to incorporate functionalities of existing libraries. Its purpose is to end challenges with tags having to fire in the right order, inconsistency with library versioning challenges, and better dependency management. It is a new way to implement the Experience Cloud and it is open source. The Web SDK replaces the following SDKs: Visitor.js AppMeasurement.js AT.js DIL.js In addition to a new library, there is a new endpoint that streamlines the HTTP requests to Adobe solutions. Before, Visitor.js sent a blocking call to the visitor ID service, then AT.js sent a call to Adobe Target, DIL.js sent a call to Adobe Audience Manager, and finally AppMeasurement.js sent a call to Adobe Analytics. This new library and endpoint can retrieve an ID, fetch a Target experience, send data to Audience Manager, and pass the data to Adobe Experience Platform in a single call. The following video demonstrates Adobe Experience Platform Web SDK and Adobe Experience Platform Edge Network in action. The video example uses a single call to Adobe which sends data to Experience Platform, Analytics, Audience Manager, and Target. Your browser does not support the iframe element. Migrating from existing libraries to Web SDK To simplify your migration from any of the existing libraries to Web SDK, Adobe offers a streamlined upgrade path, allowing you to migrate each individual page of your website to Web SDK, without the need of migrating your entire website at once. This means you can use Web SDK on a page and leave the existing libraries on the other pages, until you can migrate them as well. at.js to Web SDK migration considerations Before migrating pages that use at.js to Web SDK, make sure to enable the following Web SDK configuration options. This ensures the visitor profile is kept while navigating from pages with at.js to pages using Web SDK. idMigrationEnabled targetMigrationEnabled IMPORTANT The following Target features are not supported when migrating from at.js to Web SDK: Redirect offers CNAME and cross-domain support After migrating from at.js to Web SDK, you should remove the targetMigrationEnabled option from your configuration. Business.Adobe.com resources  Advertising Revenue Email Marketing Second Party Data Device Graph Data Explorer Tv Advertising "
4,experienceleague.adobe.com docs experience platform edge resources.html?lang=en.txt,experienceleague.adobe.com docs experience platform edge resources.html?lang=en.txt.  Useful articles Solving Implementation Pain Points with Adobe Experience Platform Web SDK and Edge Network Boosting Website Performance with Adobe Experience Platform Web SDK and Edge Network Guide to implementing Adobe Experience Platform Web SDK using Tags  Business.Adobe.com resources   
5,experienceleague.adobe.com docs experience platform edge personalization adobe target using mbox 3rdpartyid.html?lang=en.txt,"experienceleague.adobe.com docs experience platform edge personalization adobe target using mbox 3rdpartyid.html?lang=en.txt.  What is mbox3rdPartyId The mbox3rdPartyId in Adobe Target is your company’s visitor ID, such as the membership ID for your company’s loyalty program. When a visitor logs in to a company’s site, the company typically creates an ID that is tied to the visitor’s account, loyalty card, membership number, or other applicable identifiers for that company. Learn more How to use mbox3rdPartyId with the Web SDK Step 1: Configure the Target Third Party ID Namespace Configure the Target Third Party ID Namespace in your Datastream, using the ID Namespace you want to use as an mbox 3rd party ID. Learn more about ID namespaces Step 2: Send the mbox3rdpartyId to Target Send the mbox3rdpartyId to Target in the sendEvent command, using the ID namespace that you configured in Step 1. Learn more about sending IDs alloy(""sendEvent"", { xdm: {  ""identityMap"": {  ""ID_NAMESPACE"": [ // Replace `ID_NAMESPACE` with the namespace you have configured in Step 1.   {   ""id"": ""1234"",   ""authenticatedState"": ""authenticated""   }  ]  } } });  Business.Adobe.com resources   "
6,experienceleague.adobe.com docs experience platform edge personalization adobe target accessing response tokens.html?lang=en.txt,"experienceleague.adobe.com docs experience platform edge personalization adobe target accessing response tokens.html?lang=en.txt.  Accessing response tokens Personalization content returned from Adobe Target includes response tokens, which are details about the activity, offer, experience, user profile, geo information, and more. These details can be shared with third-party tools or used for debugging. Response tokens can be configured in the Adobe Target user interface. To access any personalization content, provide a callback function when sending an event. This callback will be called after the SDK receives a successful response from the server. Your callback will be provided a result object, which may contain a propositions property containing any returned personalization content. Below is an example of providing a callback function. alloy(""sendEvent"", {  renderDecisions: true,  xdm: {} }).then(function(result) {  if (result.propositions) {  // Manually render propositions  } }); In this example, result.propositions, if it exists, is an array containing personalization propositions related to the event. Please see Rendering personalization content for more information on the content of result.propositions. Assume you want to gather all activity names from all propositions that were automatically rendered by the web SDK and push them into a single array. You could then send the single array to a third party. In this case: Extract propositions from the result object. Loop through each proposition. Determine if the SDK rendered the proposition. If so, loop through each item in the proposition. Retrieve the activity name from the meta property, which is an object containing response tokens. Push the activity name into an array. Send the activity names to a third party. Your code would look as follows: alloy(""sendEvent"", {  renderDecisions: true,  xdm: {} }).then(function(result) {  var activityNames = [];  propositions.forEach(function(proposition) {  if (proposition.renderAttempted) {   proposition.items.forEach(function(item) {   if (item.meta) {    // item.meta contains the response tokens.    var activityName = item.meta[""activity.name""];    // Ignore duplicates    if (activityNames.indexOf(activityName) === -1) {    activityNames.push(activityName);    }   }   });  }  });  // Now that activity names are in an array,  // you can send them to a third party or use  // them in some other way. });  Business.Adobe.com resources   "
7,experienceleague.adobe.com docs experience platform edge fundamentals debugging.html?lang=en.txt,"experienceleague.adobe.com docs experience platform edge fundamentals debugging.html?lang=en.txt.  Debugging When debugging is enabled, the SDK outputs messages to the browser console that can be helpful in debugging your implementation and understanding how the SDK is behaving. Debugging is disabled by default, but can be toggled on in four different ways: configure command setDebug command query string parameter Toggling on Enable Debugging in Adobe Experience Platform Debugger. Adobe Experience Platform is a powerful tool that examines your webpages and helps you debug implementation issues with your Experience Cloud products. Adobe Experience Platform Debugger is available as both a Chrome and Firefox extension. Debugging can be enabled from the configuration tab of the AEP Web SDK section. Toggling debugging with the Configure command When configuring the SDK using the configure command, enable debugging by setting the debugEnabled option to true. alloy(""configure"", { ""edgeConfigId"": ""ebebf826-a01f-4458-8cec-ef61de241c93"", ""orgId"":""ADB3LETTERSANDNUMBERS@AdobeOrg"", ""debugEnabled"": true }); TIP This enables debugging for all users of the webpage rather than only your personal browser. Toggling debugging with the Debug command Toggle debugging with a separate debug command as follows: alloy(""setDebug"", { ""enabled"": true }); If you prefer not to change code on your webpage or don’t want logging messages to be produced for all users of your website, this is particularly useful because you can run the debug command within your browser’s JavaScript console at any time. Toggling debugging with a query string parameter Toggle debugging by setting an alloy_debug query string parameter to true or false as follows: http://example.com/?alloy_debug=true Similar to the debug command, if you prefer not to change code on your webpage or don’t want logging messages to be produced for all users of your website, this is particularly useful because you can set the query string parameter when loading the webpage within your browser. Priority and duration When debugging is set through the debug command or query string parameter, it overrides any debug option set in the configure command. In these two cases, debugging also remains toggled on for the duration of the session. In other words, if you enable debugging using the debug command or query string parameter, it stays enabled until one of the following: The end of your session You run the debug command You set the query string parameter again Retrieving library information It’s often helpful to access some of the details behind the library you have loaded onto your website. To do this, execute the getLibraryInfo command as follows: alloy(""getLibraryInfo"").then(function(result) { console.log(result.libraryInfo.version); console.log(result.libraryInfo.commands); console.log(result.libraryInfo.configs); }); Currently, the provided libraryInfo object contains the following properties: version: This is the version of the loaded library. For example, if the version of the library being loaded were 1.0.0, the value would be 1.0.0. When the library is run inside the tag extension (named “AEP Web SDK”), the version is the library version and the tag extension version joined with a “+” sign. For example, if the version of the library were 1.0.0, and the version of the tag extension were 1.2.0, the value would be 1.0.0+1.2.0. commands: These are all of the available commands supported by the loaded library. configs: These are all of the current configs in the loaded library.  Business.Adobe.com resources  Subscription Revenue Lookalike Modeling Web Analytics Analytics Search Marketing Management Enterprise Search Tools "
8,experienceleague.adobe.com docs experience platform edge fundamentals configuring a csp.html?lang=en.txt,"experienceleague.adobe.com docs experience platform edge fundamentals configuring a csp.html?lang=en.txt.  Configuring a CSP A Content Security Policy (CSP) is used to restrict the resources a browser is allowed to use. The CSP can also limit the functionality of script and style resources. Adobe Experience Platform Web SDK does not require a CSP, but adding one can reduce the attack surface to prevent against malicious attacks. The CSP needs to reflect how Platform Web SDK is deployed and configured. The following CSP shows what changes may be necessary for the SDK to function properly. Additional CSP settings will likely be required, depending on your specific environment. Content security policy example The following examples show how to configure a CSP. Allow access to the edge domain default-src 'self'; connect-src 'self' EDGE-DOMAIN In the above example, EDGE-DOMAIN should be replaced with the first-party domain. The first-party domain is configured for the edgeDomain setting. If no first-party domain has been configured, EDGE-DOMAIN should be replaced with *.adobedc.net. If visitor migration is turned on using idMigrationEnabled, the connect-src directive also needs to include *.demdex.net. Use NONCE to allow inline script and style elements Platform Web SDK can modify page content and must be approved to create inline script and style tags. To accomplish this, Adobe recommends using a nonce for the default-src CSP directive. A nonce is a server-generated cryptographically strong random token that is generated once per each unique page view. default-src 'nonce-SERVER-GENERATED-NONCE' In addition the CSP nonce needs to be added as an attribute to the Platform Web SDK base code script tag. Platform Web SDK will then use that nonce when adding inline script or style tags to the page: <script nonce=""SERVER-GENERATED-NONCE""> !function(n,o){o.forEach(function(o){n[o]||((n.__alloyNS=n.__alloyNS|| []).push(o),n[o]=function(){var u=arguments;return new Promise( function(i,l){n[o].q.push([i,l,u])})},n[o].q=[])})} (window,[""alloy""]); </script> If a nonce is not used, the other option is to add unsafe-inline to the script-src and style-src CSP directives: script-src 'unsafe-inline' style-src 'unsafe-inline' NOTE Adobe does not recommend specifying unsafe-inline because it allows for any script to run on the page, which limits the benefits of the CSP.  Business.Adobe.com resources   "
9,experienceleague.adobe.com docs experience platform edge identity overview.html?lang=en.txt,"experienceleague.adobe.com docs experience platform edge identity overview.html?lang=en.txt.  Identity data in the Platform Web SDK The Adobe Experience Platform Web SDK leverages Adobe Experience Cloud IDs (ECIDs) to track visitor behavior. Using ECIDs, you can ensure that each device has a unique identifier that can persist across multiple sessions, tying all the hits that occur during and across web sessions to a specific device. This document provides an overview of how to manage ECIDs using the Platform Web SDK. Tracking ECIDs using the SDK The Platform Web SDK assigns and tracks ECIDs through the use of cookies, with multiple available methods for configuring how these cookies are generated. When a new user arrives on your website, Adobe Experience Cloud Identity Service attempts to set a device identification cookie for that user. For first-time visitors, an ECID is generated and returned in the first response from the Adobe Experience Platform Edge Network. For repeat visitors, the ECID is retrieved from the kndctr_{YOUR-ORG-ID}_AdobeOrg_identity cookie and added to the payload by the Edge Network. Once the cookie containing the ECID has been set, each subsequent request generated by the Web SDK will include an encoded ECID in the kndctr_{YOUR-ORG-ID}_AdobeOrg_identity cookie. When using cookies for device identification, you have two options to interact with the Edge Network: Send data directly to the Edge Network domain adobedc.net. This method is referred to as third-party data collection. Create a CNAME on your own domain that points to adobedc.net. This method is referred to as first-party data collection. As explained in the sections below, the data collection method that you choose to use has a direct impact on cookie lifetime across browsers. Third-party data collection Third-party data collection involves sending data directly to the Edge Network domain adobedc.net. In recent years, web browsers have becoming increasingly restrictive in their handling of cookies set by third parties. Some browsers block third-party cookies by default. If you use third-party cookies to identify site visitors, the lifetime of those cookies is almost always shorter than what would be otherwise available using first-party cookies instead. In some cases, a third-party cookie will expire in as little as seven days. Additionally, when third-party data collection is used, some ad blockers restrict traffic to Adobe data collection endpoints altogether. First-party data collection First-party data collection involves setting cookies through a CNAME on your own domain that points to adobedc.net. While browsers have long treated cookies set by CNAME endpoints in a similar manner to those set by site-owned endpoints, recent changes implemented by browsers have created a distinction in how CNAME cookies are handled. While there are no browsers that currently block first-party CNAME cookies by default, some browsers restrict the lifetime of cookies set using a CNAME to just seven days. Effects of cookie lifespans on Adobe Experience Cloud applications Regardless of whether you choose first-party or third-party data collection, the length of time a cookie can persist has a direct impact on visitor counts in Adobe Analytics and Customer Journey Analytics. Additionally, end users may experience inconsistent personalization experiences when Adobe Target or Offer Decisioning is used on the site. For example, consider a situation where you have created a personalization experience that will promote any item to the home page if a user has viewed it three times over the last seven days. If an end user visits three times in a week and then does not return to the site for seven days, that use could be considered a new user when they return to the site because their cookies may have been deleted by a browser policy (depending on the browser they were using when they visited the site). If this occurs, your Analytics tool will treat the visitor as a new user even though they visited the site just a little over seven days ago. Additionally, any effort to personalize the experience for the user will begin again. First-party device IDs To account for the effects of cookie lifespans as outlined above, you can opt to set and manage your own device identifiers instead. See the guide on first-party device IDs for more information. Retrieving the ECID and region for the current user To retrieve the unique ECID for the current visitor, use the getIdentity command. For first-time visitors who don’t have an ECID yet, this command generates a new ECID. getIdentity also returns the region ID for the visitor. NOTE This method is typically used with custom solutions that require reading the Experience Cloud ID or need a location hint for Adobe Audience Manager. It is not used by a standard implementation. alloy(""getIdentity"") .then(function(result) {  // The command succeeded.  console.log(""ECID:"", result.identity.ECID);  console.log(""RegionId:"", result.edge.regionId); }) .catch(function(error) {  // The command failed.  // ""error"" will be an error object with additional information. }); Using identityMap Using an XDM identityMap field, you can identify a device/user using multiple identities, set their authentication state, and decide which identifier is considered the primary one. If no identifier has been set as primary, the primary defaults to be the ECID. identityMap fields are updated using the sentEvent command. alloy(""sendEvent"", { xdm: {  ""identityMap"": {  ""ID_NAMESPACE"": [ // Notice how each namespace can contain multiple identifiers.   {   ""id"": ""1234"",   ""authenticatedState"": ""ambiguous"",   ""primary"": true   }  ]  } } }); Each property within identityMap represents identities belonging to a particular identity namespace. The property name should be the identity namespace symbol, which you can find listed in the Adobe Experience Platform user interface under “Identities”. The property value should be an array of identities pertaining to that identity namespace. IMPORTANT The namespace ID passed in the identityMap is case sensitive. Make sure to use the correct namespace ID to avoid incomplete data collection. Each identity object in the identities array contains the following properties: Property Data type Description  id String (Required) The ID that you want to set for the given namespace. authenticationState String (Required) The authentication state of the ID. Possible values are ambiguous, authenticated, and loggedOut. primary Boolean Determines whether this identity should be used as a primary fragment in the profile. By default, the ECID is set as the primary identifier for the user. If omitted, this value defaults to false. Using the identityMap field to identify devices or users leads to the same result as using the setCustomerIDs method from the ID Service API. See the ID Service API documentation for more details. Migrating from Visitor API to ECID When migrating from using Visitor API, you can also migrate existing AMCV cookies. To enable ECID migration, set the idMigrationEnabled parameter in the configuration. ID migration enables the following use cases: When some pages of a domain are using Visitor API and other pages are using this SDK. To support this case, the SDK reads existing AMCV cookies and writes a new cookie with the existing ECID. Additionally, the SDK writes AMCV cookies so that if the ECID is obtained first on a page instrumented with the SDK, subsequent pages that are instrumented with Visitor API have the same ECID. When Adobe Experience Platform Web SDK is set up on a page that also has Visitor API. To support this case, if the AMCV cookie is not set, the SDK looks for Visitor API on the page and calls it to get the ECID. When the entire site is using Adobe Experience Platform Web SDK and does not have Visitor API, it is useful to migrate the ECIDs so that the return visitor information is retained. After the SDK is deployed with idMigrationEnabled for a period of time so that most of the visitor cookies are migrated, the setting can be turned off. Updating traits for migration When XDM formatted data is sent into Audience Manager this data will need to be converted into signals when migrating. Your traits will need to be updated to reflect the new keys that XDM provides. This process is made easier by using the BAAAM tool that Audience Manager has created. Use in event forwarding If you currently have event forwarding enabled and are using appmeasurement.js and visitor.js, you can keep the event-forwarding feature enabled and this won’t cause any issues. On the back end, Adobe fetches any AAM segments and adds them to the call to Analytics. If the call to Analytics contains those segments, Analytics won’t call Audience Manager to forward any data, so there isn’t any double data collection. There is also no need for Location Hint when using the Web SDK because the same segmentation endpoints are called in the backend. Business.Adobe.com resources   "
